租赁方式,户型,面积,装修,朝向,高低,楼层,小区名,区域,次级区域,详细地址,详情,亮点,描述,URL,价格,周期,押金
整租,1室1厅1卫,45,精装修,南,高层,15层,高巢小区,海淀,清河,"
                                龙岗路35号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,"房源描述
享受电话给您带来的快乐吧！
一．户型：2室1厅1厨1卫1阳台，朝向：南北通透，让您住的舒适！
二．细心的业主奢华的装修！全为自己精心设计的，确没来得及住！
三．容积率：3.50，30%，车位：600！
四．周边公交：公交：333路、855路、810路 
地铁：8号线，幼儿园：北科大幼儿园、明天幼儿园 刘诗昆艺术幼儿园，智合幼儿园
中小学：永泰小学、清河中学、北京20中，北京科技大学附属幼儿园
大学：北京机械学院、北京大学、清华大学，商场： 金五星、大中电器、国美电器、翠微商厦、物美超市、永辉超市，：中国工商、中国建设，中国，中国农业，中国交通与交通！本人负责的小区有：宝盛里，宝盛北里，观林园，观景园，芳清园，观澳园，永泰东里，永泰西里，永泰园，新地标，怡清园，清缘里，清缘东里，高巢小区，清景园，水木天成，福美苑，莱圳家园，强佑清河新城，砂轮厂宿舍，清河文苑，毛纺厂南小区，力度家园，花园楼，安宁里，安宁庄南小区，毛纺厂北小区。海淀清河，安宁庄，西三旗，西二旗所有小区欢迎来电咨询或者小窗咨询。
张露为您带来电话的快乐！Let's go！  ",https://bj.58.com/zufang/37409998093834x.shtml,4800,元/月,押一付三
整租,2室1厅1卫,101.34,精装修,西南,中层,24层,中鑫嘉园二期,海淀,牡丹园,"
                                牡丹园北路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 已传房本 邻地铁 配套齐全 精装修 有阳台 首次出租 随时看房 ,"出租要求

一家人
一年起租
租户稳定
作息正常
",https://bj.58.com/zufang/37246521182594x.shtml,12000,元/月,押一付三
整租,2室1厅1卫,12.61,精装修,东南,中层,13层,小南庄甲26号院,海淀,苏州街,"
                                万泉河路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 押一付一 配套齐全 精装修 ,"房源描述安全、舒适、配套完善，让您住的省心，住的放心。
小南庄甲26号院
面积：12.61
【我们承诺】
不收取中介费：押一付一，免中介费用
双周保洁安心省心：每两周保洁阿姨会针对公共空间进行一次保洁
售后维修及时上门：2h人工客服以及365天售后维修服务
智能密码锁：一客一锁，电子密码，方便使用
WIFI ：24h高速WiFi
我们保证所有房源真实存在，杜绝虚假房源
因为系统对接问题，可能少部分房源状态更新不及时，敬请谅解。
 
【温馨提示】
房源押一付一，不收取中介费，随时
24h管家服务，随叫随到，为了帮助你找到合适的房源，随时拨打电话进行咨询

【交通】
附近地铁：苏州街地铁站D西南口，苏州街地铁站C东南口，苏州桥(地铁站)
周边公交：万柳东路(公交站)，万泉庄路(公交站)，万泉庄(公交站)，万柳东路南口(公交站)，万泉河路(公交站)，巴沟南路(公交站)，万柳中路南口(公交站)，人民西门(公交站)，稻香园(公交站)，长春桥路(公交站)，万柳中路(公交站)，苏州桥南(公交站)，厂洼北站(公交站)，三义庙(公交站)，长春桥东(公交站)，海淀南路西口(公交站)，万柳中路北口(公交站)，巴沟村
【小区简介】

【购物】
周围商店：北京华联万柳购物中心

我们正在努力匹配中，只为让您有家的感觉
【美食】
餐饮：烤全鱼(小南庄路)，必胜宅急送(万柳东路店)，U味儿粥饼面(万柳店)，金百万烤鸭店(万柳店)，巫山烤全鱼(小南庄店)，烤鲜羊肉，天津包子铺(小南庄路)，大手指广东酒家，秦乡面馆(小南庄路)，海淀街道新区社区餐桌，润福轩(小南庄店)，蓉蓉阁烤鸭店(万柳店)，味多美(万柳新贵店)，山西晋阳面食馆，主食厨房(小南庄斜街)，溢乐家园，白熊料理，成都小吃(小南庄店)，

我们正在努力匹配中，只为让您有家的感觉
【附近银行】
周边银行：南京银行(北京万柳支行)，中国邮政储蓄银行(万泉庄营业所)，招商银行(万泉河支行)，北京银行ATM，中国建设银行(北京万泉支行)，中国银行(万泉河支行)，北京农商银行(海淀支行)，中国建设银行(苏州桥支行)，北京银行(新华支行)，中国农业银行(北京西海支行)，中国工商银行(北京人民支行)，中国建设银行(北京万柳支行)，平安银行(北京万柳支行)，中国民生银
我们正在努力匹配中，只为让您有家的感觉

【周边】
附近：博识梦飞，阳春新纪元社区市民，北京市第十学(中)，苏州桥西社区文明市民，北京市第十学，东方爱婴(万柳东路)，北京经济研修学院，抓马宝贝，万泉，中国人民育贤楼，汇众动漫学院中关村总校，汇众游戏学院中关村总校，中国人民培训大楼，中国人民商学院，中国人民汇贤大厦B座，迈阿密中国区办公室，立新社区市民文明
我们正在努力匹配中，只为让您有家的感觉
【周边医院】
周边医院：小南庄社区卫生服务站，中国人民社区卫生服务中心，中国人民医院，万柳地区-社区卫生服务站，北京理工社区卫生服务中心
我们正在努力匹配中，只为让您有家的感觉                         ",https://bj.58.com/zufang/37406145533185x.shtml,6690,元/月,押一付一
整租,1室1厅1卫,45,精装修,南北,中层,12层,金隅瑞和园,海淀,田村,"
                                田村山南路33号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 押一付一 配套齐全 精装修 ,房源描述房子位置不错，室友都很好相处，也没有中介fei，随时可以看房！,https://bj.58.com/zufang/37271288238880x.shtml,4299,元/月,押一付一
整租,1室1厅1卫,62,精装修,西南,中层,17层,曙光花园望塔园,海淀,车道沟,"
                                彰化路                            ", 床 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 , 配套齐全 精装修 ,"房源描述
此房目前有住户，到11月中期到期，保持的特别好，精装修，家居家电齐全，看房提前约时间，比较方便，业主希望客户是情侣或者一个人，稳定工作。
小区出门就是公交站，离地铁800米，出行方便。                            ",https://bj.58.com/zufang/37346900703123x.shtml,4500,元/月,押一付三
整租,2室1厅1卫,61,精装修,东西,中层,6层,索家坟小区,海淀,小西天,"
                                文慧园西路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 邻地铁 配套齐全 精装修 ,房源描述 索家坟 户型：2室1厅 整租6900.00元   园区介绍：  索家坟拥有45%以上的绿化率，堪称天然氧吧，有客户称在此园居住能多活几十年。园区紧邻地铁，有专门到达公交车站，上班方便。  房源介绍：  这套房子是东西方向的，户型超好，每个房间都很大，客厅空间很大，特别敞亮，采光相当好，从太阳升起来到落下一直都有采光；  业主情况：  业主诚心出租，随时看房，有缘看到我的帖子可以给我打电话！   资深房产顾问姜会强竭诚为您服务！ ,https://bj.58.com/zufang/37355314032650x.shtml,6900,元/月,押一付三
整租,2室1厅1卫,55,精装修,南,中层,6层,龙乡小区(中区),海淀,西三旗,"
                                文化路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述 这个房子是龙乡小区的正规两居室，两卧朝向是南向，采光极好，房间宽敞明亮，干净整洁。 小区环境好，门口公交线路众多，生活便利，给您打造一个舒适的居住环境。 您恰好需要，房刚好就在,https://bj.58.com/zufang/37333642050963x.shtml,5600,元/月,押一付三
整租,2室1厅1卫,75,精装修,南北,低层,6层,轮胎厂宿舍,海淀,西三旗,"
                                建材城西路9号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 邻地铁 押一付一 配套齐全 精装修 ,房源描述 配套：美廉美超市 苏宁易购 肯德基 小区里有超市 北京师范大学附属小学 北医三院 邮政银行 工商银行 泰华龙旗广场购物中心 电影院 健身房等等  交通：地铁8号线育新站/地铁13号线霍营站   公交：307路 345路 407路 883路 889路 919路 运通103线 快速直达专线121路运通109先夜38路 315路 371路379路 432路 478路 606路 607路614路运通117线 运通119线 专89路 355路 379路 393路 398路 693路等等   新康园  北新家园 旗胜家园  建材城西一里  建材城西二里  知本时代  东村家园  沁春家园   上奥世纪中心  枫丹丽舍 育新花园 泰华龙旗 育新嘉园 建材城东一里 建材城东二里 北辰机械厂 常秀家园 建材城85号院 ,https://jxjump.58.com/service?target=FCADV8oV3os7xtAj_6pMK7rUlr2F-i3f_Rs332pQw570ujEfZpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0TSOzuxIPbCvfVI07XtU6xKyBP1ZKMCGY32R0XBDaa2haEHwJR-u5rgeEvZYetOdm5FMGHwQ6URh4ukfCbRGVaWhwAwIAsnVFVGVkJ-frjEcIsiu1SCX0Xj7SsXWXp8z78Eh8i-HoC5p0gnTnuV4ut2oMzJts5psgUpaoegYQrf_Q&pubid=63441037&apptype=0&psid=177679554203461690441131427&entinfo=37310813852699_0&cookie=|||&fzbref=1&key=&params=rank0830gspanxuan0099^desc,5600,元/月,押一付一
整租,1室1厅1卫,59,豪华装修,北,高层,20层,华清嘉园,海淀,五道口,"
                                成府路,近中关村东路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 ,房源描述 【房源】房子位于华清嘉园东区，精装修、家具家电齐全、拎包即住 【户型】豪华装修的北向一居室、双阳台落地窗、真正的白领住房 【租金】8500/月 【面积】59㎡ 【目前现状】目前房子已空置，看房方便，随时看房 【个人自述】我是房产经纪人明浩，是一个刚刚退伍的老兵，一直本着专业的房产知识为您服务，竭尽全力为您匹配。本人熟悉五道口附近的所有楼盘，如果您想了解有关于房产的问题，欢迎来电、希望我也可以为您真诚的服务......,https://jxjump.58.com/service?target=FCADV8oV3os7xtAj_6pMK7rUlr2F-i3f_Rs33H7RMHOgA-M3Zpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0QUrj3N3MHpWHagO6VJ9-DByBP1ZKMCGY2WE9ow7QWdF_5yMvXxwa7oeEvZYetOdm5tsyc9RWR2I4ukfCbRGVaWhwAwIAsnVFVGVkJ-frjEcIsiu1SCX0Xju9Dsv2iJrXnnSo5ubMxc8EgnTnuV4ut2oMzJts5psgXyCqTYa0pzSw&pubid=63410939&apptype=0&psid=186659811203461681238248587&entinfo=37366101424421_0&cookie=|||&fzbref=1&key=&params=rank0830gspanxuan0099^desc,8500,元/月,押一付三
整租,1室1厅1卫,50,精装修,东,低层,18层,塔院迎春园,海淀,牡丹园,"
                                北土城西路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,"房源描述温馨提示: 
本人诚心经营，专心发布诚信帖子。如果没有看到满意的房源，可以拨打我的电话，真诚为您服务。您的房屋管家，一定为您匹配合适的房子，欢迎来电哦！！！！！！
房源描述  
1.  交通出行地铁、公交便利。
2.  物业和供暖市政供暖，业主全包，您只需承担水电费。
3.  居民中上层居住群体，多数是周边单位白领，层次属于高素质群体。
4.  房子干净整洁、温馨舒适、业主要求爱干净、能爱惜房子的优先考虑。
5.  周边配套设施齐全。


",https://bj.58.com/zufang/37410441545997x.shtml,5200,元/月,押一付二
